Afghanistan,Southern Asia,Persian Pashtu
Albania,Central and Eastern Europe,Albanian Greek
Algeria,Middle East and Northern Africa,Arabic French
Angola,Sub-Saharan Africa,Portuguese Bantu
Argentina,Latin America and Carribbean,Spanish English Italian German French
Armenia,Central and Eastern Europe,Armenian Yezidi Russian
Australia,Australia and New Zeland,English
Austria,Western Europe,German Slovene Croatian Hungarian
Azerbaijan,Central and Eastern Europe,Turkish Russian Armenian
Bahrain,Middle East and Northern Africa,Arabic English Farsi Urdu
Bangladesh,Southern Asia,Bangla English
Belarus,Central and Eastern Europe,Belorussian Russian
Belgium,Western Europe,Dutch French German
Benin,Sub -Saharan Africa,French Fon Yoruba
Bhutan,Southern Asia,Dzongkha
Bolivia,Latin America and Caribbean,Spanish Quechua Aymara
Bosnia and Herzegovina,Central and Eastern Europe,Bosnian Croatian Serbian
Botswana,Sub-Saharan Africa,English Setswana Kalanga Sekgalagadi
Brazil,Latin America and Caribbean,Portuguese Spanish English French
Bulgaria,Central and Eastern Europe,Bulgarian Turkish Roma
Burkina Faso,Sub-Saharan Africa,French
Burundi,Sub-Saharan Africa,Kirundi French Swahili
Cambodia,Southeastern Asia,Khmer French English
Cameroon,Sub-Saharan Africa,French English
Canada,North America,English French
Central African Republic,Sub-Saharan Africa,French Sangho
Chad,Sub-Saharan Africa,French Arabic Sara
Chile,Latin America and Caribbean,Spanish
China,Eastern Asia,Chinese
Colombia,Latin America and Caribbean,Spanish
Comoros,Sub-Saharan Africa,Arabic French Shikomoro
"Congo, Democratic Republic of the",Sub-Saharan Africa,French Lingala Kingwana Kikongo Tshiluba
"Congo, Republic of",Sub-Saharan Africa,French Lingala Monokutuba Kikongo
Costa Rica,Latin America and Caribbean,"Spanish, English"
Croatia,Central and Eastern Europe,Croatian
Cyprus,Western Europe,Greek Turkish English
Czech Republic,Central and Eastern Europe,Czech
Denmark,Western Europe,Danish Faroese Greenlandic
Djibouti,Sub-Saharan Africa,French Arabic Somali Afar
Dominican Republic,Latin America and Caribbean,Spanish
Ecuador,Latin America and Caribbean,Spanish Quechua
Egypt,Middle East and Northern Africa,Arabic English French
El Salvador,Latin America and Caribbean,Spanish Nahua
Estonia,Central and Eastern Europe,Estonian Russian
Ethiopia,Sub-Saharan Africa,Amharic Tigrigna Orominga Guaragigna Somali Arabic English
Finland,Western Europe,Finnish Swedish
France,Western Europe,French
Gabon,Sub-Saharan Africa,French
Georgia,Central and Eastern Europe,Georgian Russian Armenian Azerbaijani
Germany,Western Europe,German
Ghana,Sub-Saharan Africa,English
Greece,Western Europe,Greek English French
Guatemala,Latin America and Caribbean,Spanish Amerindian
Guinea,Sub-Saharan Africa,French
Haiti,Latin America and Caribbean,Creole French
Honduras,Latin America and Caribbean,Spanish English
Hungary,Central and Eastern Europe,Magyar
Iceland,Western Europe,Icelandic English German
India,Southern Asia,Hindi English Bengali Gujarati Kashmiri Malayalam Marathi Oriya Punjabi Tamil Telugu Urdu Kannada Assamese Sanskrit Sindhi
Indonesia,Southeastern Asia,Bahasa English Dutch Javanese
Iran,Middle East and Northern Africa,Persian Turkish Kurdish Luri Balochi Arabic
Iraq,Middle East and Northern Africa,Arabic Kurdish Assyrian Armenian
Ireland,Western Europe,English Irish
Israel,Middle East and Northern Africa,Hebrew Arabic English
Italy,Western Europe,Italian German French
Jamaica,Latin America and Caribbean,English Creole
Japan,Eastern Asia,Japanese
Jordan,Middle East and Northern Africa,Arabic English
Kazakhstan,Central and Eastern Europe,Kazak Russian
Kenya,Sub-Saharan Africa,English Swahili
South Korea,Eastern Asia,Korean English
Kosovo,Central and Eastern Europe,Albanian Serbian Bosnian Turkish Roma
Kuwait,Middle East and Northern Africa,Arabic English
Kyrgyzstan,Central and Eastern Europe,Kyrgyz Russian
Laos,Southeastern Asia,Lao French English
Latvia,Central and Eastern Europe,Latvian Russian Lithuanian
Lebanon,Middle East and Northern Africa,Arabic French English Armenian
Lesotho,Sub-Saharan Africa,English Sesotho Zulu Xhosa
Liberia,Sub-Saharan Africa,English
Libya,Middle East and Northern Africa,Arabic Italian English
Lithuania,Central and Eastern Europe,Lithuanian Russian Polish
Luxembourg,Western Europe,Luxermbourgish French German
Macedonia,Central and Eastern Europe,Macedonian Albanian Turkish Roma Serbian
Madagascar,Sub-Saharan Africa,Malagasy French
Malawi,Sub-Saharan Africa,Chichewa Chinyanja Chiyao Chitumbuka Chisena Chilomwe
Malaysia,Southeastern Asia,Bahasa-Melayu English Chinese Tamil Telugu Malayalam Panjabi Thai
Mali,Sub-Saharan Africa,French Bambara
Malta,Western Europe,Maltese English
Mauritania,Sub-Saharan Africa,Arabic Pulaar Soninke French Wolof
Mauritius,Sub-Saharan Africa,English Creole Bojpoori French
Mexico,Latin America and Caribbean,Spanish Mayan Nahuatl
Moldova,Central and Eastern Europe,Romanian Russian Turkish
Mongolia,Eastern Asia,Mongolian Turkish Russian
Montenegro,Central and Eastern Europe,Serbian
Morocco,Middle East and Northern Africa,Arabic French
Mozambique,Sub-Saharan Africa,Portuguese Emakhuwa Xichangana Elomwe Cisena Echuwabo
Myanmar,Southeastern Asia,Burmese
Nepal,Southern Asia,Nepali Maithali Bhojpuri Tharu Tamang
Netherlands,Western Europe,Dutch Frisian
New Zealand,Australia and New Zealand,English Maori
Nicaragua,Latin America and Caribbean,Spanish English
Niger,Sub-Saharan Africa,French Hausa Djerma
Nigeria,Sub-Saharan Africa,English Hausa Yoruba Ibo Fulani
Norway,Western Europe,Norwegian
Oman,Middle East and Northern Africa,Arabic English Baluchi Urdu
Pakistan,Southern Asia,Urdu English Punjabi Sindhi Siraiki Pashtu Balochi Hindko Brahui Burushaski
Palestinian Territories,Middle East and Northern Africa,Arabic Hebrew English
Panama,Latin America and Caribbean,Spanish English
Paraguay,Latin America and Caribbean,Spanish Guaran
Peru,Latin America and Caribbean,Spanish
Philippines,Southeastern Asia,Filipino English Tagalog Cebuano Ilocano Ilonggo Bicol Waray Pampango
Poland,Central and Eastern Europe,Polish
Portugal,Western Europe,Portuguese Mirandese
Qatar,Middle East and Northern Africa,Arabic English
Romania,Central and Eastern Europe,Romanian Hungarian German
Russia,Central and Eastern Europe,Russian
Rwanda,Sub-Saharan Africa,Kinyarwanda French English Kiswahili
Saudi Arabia,Middle East and Northern Africa,Arabic
Senegal,Sub-Saharan Africa,French Wolof Pulaar Jola Mandinka
Serbia,Central and Eastern Europe,Serbian Romanian Hungarian Slovak Croatian Albanian
Sierra Leone,Sub-Saharan Africa,English Mende Temne Krio
Singapore,Southeastern Asia,Mandarin English Malay Hokkien Cantonese Teochew Tamil Chinese
Slovakia,Central and Eastern Europe,Slovak Hungarian Roma Ukrainian
Slovenia,Central and Eastern Europe,Slovenian Serbo-Croatian
Somaliland region,Sub-Saharan Africa,Somali Arabic English Italian
South Africa,Sub-Saharan Africa,IsiZulu IsiXhosa Afrikaans Sepedi English Setswana Sesotho Xitsonga
Sudan,Sub-Saharan Africa,Arabic Nubian Ta-Bedawie Nilotic Nilo-Hamitic Sudanic English
Spain,Western Europe,Spanish Catalan Galician Basque
Sri Lanka,Southern Asia,Sinhala Tamil English
Suriname,Latin America and Caribbean,Dutch Surinamese English Hindustani Javanese
Swaziland,Sub-Saharan Africa,English siSwati
Sweden,Western Europe,Swedish
Switzerland,Western Europe,German French Italian Romansch
Syria,Middle East and Northern Africa,Arabic Kurdish Armenian Aramaic Circassian
Taiwan,Eastern Asia,Chinese Taiwanese Hakka
Tajikistan,Central and Eastern Europe,Tajik Russian
Tanzania,Sub-Saharan Africa,Swahili English Arabic
Thailand,Southeastern Asia,Thai English
Togo,Sub-Saharan Africa,French Mina
Trinidad and Tobago,Latin America and Caribbean,English Hindi French Spanish Chinese
Tunisia,Middle East and Northern Africa,Arabic French
Turkey,Middle East and Northern Africa,Turkish Kurdish Dimli Azeri Kabardian
Turkmenistan,Central and Eastern Europe,Turkmen Russian Uzbek
Uganda,Sub-Saharan Africa,English Ganda Luganda Swahili Arabic
Ukraine,Central and Eastern Europe,Ukrainian Russian Romanian Polish Hungarian
United Arab Emirates,Middle East and Northern Africa,Arabic Persian English Hindi Urdu
United Kingdom,Western Europe,English Welsh Scots Gaelic
United States,North America,English Spanish
Uruguay,Latin America and Caribbean,Spanish Portunol Brazilero
Uzbekistan,Central and Eastern Europe,Uzbek Russian Tajik
Venezuela,Latin America and Caribbean,Spanish
Vietnam,Southeastern Asia,Vietnamese English French Chinese Khmer
Yemen,Middle East and Northeastern Africa,Arabic
Zambia,Sub-Saharan Africa,English Bemba Kaonda Lozi Lunda Luvale Nyanja Tonga
Zimbabwe,Sub-Saharan Africa,English Shona Ndebele
